outbreakId,eventId,animalCategory,startDate,endDate,totalCases,isCluster,longitude,latitude,active,totalOutbreaks,locationName,locationApprox,status,animalCategoryLabel,isClusterLabel,diseaseName,diseaseCategory,diseaseType,speciesDetails
180687,7260,domestic,2026-02-05,2026-02-11,16.0,False,3.31,50.97,,1,Tielt,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
178439,7218,wild,2026-01-16,2026-01-20,8.0,False,27.746526,46.729714,,1,Valeni,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
179500,7218,wild,2026-01-29,2026-01-30,1.0,False,26.3357,46.9355,,1,Piatra-neamt,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
179681,7218,wild,2026-01-29,2026-01-30,1.0,False,27.746526,46.729714,,1,Valeni,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
179847,7218,wild,2026-01-30,2026-02-02,4.0,False,27.660693,46.202997,,1,Barlad,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
179883,7218,domestic,2026-02-03,2026-03-10,434.0,False,28.54313,45.21766,,1,Niculitel,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
180569,7218,wild,2026-02-10,2026-02-11,2.0,False,26.231025,44.395966,,1,Glina,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus cygnus'}]
181805,7218,wild,2026-02-17,2026-02-20,1.0,False,28.58823,43.809029,,1,Mangalia,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus cygnus'}]
181856,7218,wild,2026-02-17,2026-02-23,2.0,False,23.356854,46.737237,,1,Gilau,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
183464,7218,wild,2026-03-06,2026-03-10,1.0,False,21.940493,47.05563,,1,Oradea,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus olor'}]
185426,7218,wild,2026-03-16,2026-03-26,1.0,False,28.671396,44.152005,,1,Constanta,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus cygnus'}]
186614,7218,wild,2026-04-02,2026-04-07,1.0,False,23.244219,46.867909,,1,Aghiresu,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Ciconia ciconia'}]
182787,7336,wild,2026-03-04,,26.0,False,-71.72337564,-33.80074373,,1,Valparaíso,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Coscoroba coscoroba'}]
183445,7336,wild,2026-03-05,,9.0,False,-71.315861,-35.616418,,1,MAULE ,True,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Coscoroba coscoroba'}]
187906,7336,wild,2026-04-12,2026-05-18,1.0,False,-73.1032376,-36.7898046,,1,Región del Bío.BíoComuna de Talcahuano,True,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Coscoroba coscoroba'}]
187907,7336,wild,2026-04-10,,230.0,False,-73.36662084,-38.891442,,1,Araucanía-Lago Budí,True,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus melancoryphus'}]
187908,7336,wild,2026-04-08,2026-06-01,14.0,False,-71.5020253,-33.09622276,,1,Valparaíso Jardín Botánico,True,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cereopsis novaehollandiae'}]
187909,7336,wild,2026-04-07,,1.0,False,-73.2990917,-37.2925185,,1,Bío Bío Desembocadura Río Carampagne,True,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus melancoryphus'}]
187910,7336,wild,2026-04-04,2026-05-27,1.0,False,-73.18395379,-39.70189689,,1,Los Ríos - Santuario de la Naturaleza Carlos Anwanter,True,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Cygnus melancoryphus'}]
